Chromosome	Start	Ratio	MedianRatio	CopyNumber
1	1	1.90088	1.43091	4
1	10000001	1.47811	1.43091	4
1	20000001	1.43091	1.43091	4
1	30000001	1.3706	1.43091	4
1	40000001	1.38337	1.43091	4
1	50000001	1.19592	1.18871	4
1	60000001	0.874691	1.18871	4
1	70000001	0.868858	1.18871	4
1	80000001	0.897619	1.18871	4
1	90000001	0.938413	1.18871	4
1	100000001	1.02332	1.18871	4
1	110000001	1.27653	1.18871	4
1	120000001	2.09016	1.18871	4
1	130000001	-1	1.18871	4
1	140000001	2.16552	1.18871	4
1	150000001	1.04884	1.18871	4
1	160000001	1.14983	1.18871	4
1	170000001	1.21508	1.18871	4
1	180000001	1.18451	1.18871	4
1	190000001	1.18277	1.18871	4
1	200000001	1.3178	1.18871	4
1	210000001	1.18871	1.18871	4
1	220000001	1.34959	1.18871	4
1	230000001	1.2532	1.18871	4
1	240000001	1.24328	1.18871	4
10	1	1.01026	0.999152	3
10	10000001	0.970567	0.999152	3
10	20000001	0.953964	0.999152	3
10	30000001	0.98804	0.999152	3
10	40000001	1.28483	0.999152	3
10	50000001	1.15372	0.999152	3
10	60000001	1.20194	0.999152	3
10	70000001	1.34766	0.999152	3
10	80000001	0.967474	0.999152	3
10	90000001	0.681346	0.999152	3
10	100000001	0.608453	0.999152	3
10	110000001	0.65639	0.999152	3
10	120000001	1.03119	0.999152	3
10	130000001	1.29067	0.999152	3
11	1	1.10144	0.998072	3
11	10000001	1.09759	0.998072	3
11	20000001	0.961613	0.998072	3
11	30000001	0.961248	0.998072	3
11	40000001	0.984357	0.998072	3
11	50000001	1.01331	0.998072	3
11	60000001	1.1679	0.998072	3
11	70000001	1.09264	0.998072	3
11	80000001	0.860235	0.998072	3
11	90000001	0.938372	0.998072	3
11	100000001	0.977115	0.998072	3
11	110000001	0.929501	0.998072	3
11	120000001	1.03238	0.998072	3
11	130000001	1.01179	0.998072	3
12	1	0.718191	0.925061	3
12	10000001	0.641685	0.925061	3
12	20000001	0.864445	0.925061	3
12	30000001	0.88161	0.925061	3
12	40000001	1.10091	0.925061	3
12	50000001	0.944322	0.925061	3
12	60000001	0.879475	0.925061	3
12	70000001	0.889123	0.925061	3
12	80000001	0.909982	0.925061	3
12	90000001	0.94014	0.925061	3
12	100000001	1.03143	0.925061	3
12	110000001	1.00156	0.925061	3
12	120000001	1.07803	0.925061	3
12	130000001	1.33689	0.925061	3
13	1	-1	0.677161	2
13	10000001	0.721664	0.677161	2
13	20000001	0.636619	0.677161	2
13	30000001	0.676861	0.677161	2
13	40000001	0.698573	0.677161	2
13	50000001	0.646029	0.677161	2
13	60000001	0.646834	0.677161	2
13	70000001	0.677161	0.677161	2
13	80000001	0.82746	0.677161	2
13	90000001	1.33571	0.677161	2
13	100000001	0.634914	0.677161	2
13	110000001	0.853784	0.677161	2
14	1	-1	0.697618	2
14	10000001	1.04071	0.697618	2
14	20000001	0.676349	0.697618	2
14	30000001	0.660958	0.697618	2
14	40000001	0.605053	0.697618	2
14	50000001	0.708972	0.697618	2
14	60000001	0.763123	0.697618	2
14	70000001	0.686264	0.697618	2
14	80000001	0.584774	0.697618	2
14	90000001	0.749901	0.697618	2
14	100000001	0.77536	0.697618	2
15	1	-1	1.02081	3
15	10000001	1.05603	1.02081	3
15	20000001	0.964936	1.02081	3
15	30000001	0.923916	1.02081	3
15	40000001	1.02264	1.02081	3
15	50000001	1.00415	1.02081	3
15	60000001	1.05692	1.02081	3
15	70000001	1.01899	1.02081	3
15	80000001	1.09951	1.02081	3
15	90000001	0.968943	1.02081	3
15	100000001	1.03674	1.02081	3
16	1	1.04719	1.06097	3
16	10000001	1.11425	1.06097	3
16	20000001	1.06938	1.06097	3
16	30000001	1.18165	1.06097	3
16	40000001	2.15477	1.06097	3
16	50000001	1.04625	1.06097	3
16	60000001	1.00536	1.06097	3
16	70000001	1.05255	1.06097	3
16	80000001	1.35847	1.06097	3
16	90000001	0.780952	1.06097	3
17	1	0.823943	1.08197	3
17	10000001	0.708797	1.08197	3
17	20000001	1.14474	1.08197	3
17	30000001	1.03143	1.08197	3
17	40000001	1.08197	1.08197	3
17	50000001	0.946838	1.08197	3
17	60000001	1.08683	1.08197	3
17	70000001	1.22132	1.08197	3
17	80000001	2.07313	1.08197	3
18	1	1.49212	0.81381	2
18	10000001	1.24584	0.81381	2
18	20000001	1.33081	0.81381	2
18	30000001	1.2112	0.81381	2
18	40000001	0.762362	0.81381	2
18	50000001	0.6445	0.81381	2
18	60000001	0.81381	0.81381	2
18	70000001	0.799177	0.81381	2
18	80000001	0.625212	0.81381	2
19	1	1.29343	1.14794	3
19	10000001	1.23044	1.14794	3
19	20000001	1.171	1.14794	3
19	30000001	1.12487	1.14794	3
19	40000001	1.05237	1.14794	3
19	50000001	1.03199	1.14794	3
2	1	0.982013	0.983611	3
2	10000001	1.00083	0.983611	3
2	20000001	0.96622	0.983611	3
2	30000001	0.994239	0.983611	3
2	40000001	0.979095	0.983611	3
2	50000001	1.00717	0.983611	3
2	60000001	0.979571	0.983611	3
2	70000001	0.995628	0.983611	3
2	80000001	1.07379	0.983611	3
2	90000001	1.11242	0.983611	3
2	100000001	0.893842	0.983611	3
2	110000001	0.92277	0.983611	3
2	120000001	1.1144	0.983611	3
2	130000001	0.948015	0.983611	3
2	140000001	0.983611	0.983611	3
2	150000001	1.32302	1.32302	4
2	160000001	1.47767	1.32302	4
2	170000001	1.21724	1.32302	4
2	180000001	1.07776	1.07776	3
2	190000001	0.834065	0.810077	2
2	200000001	0.649533	0.810077	2
2	210000001	0.634652	0.810077	2
2	220000001	0.786089	0.810077	2
2	230000001	0.877094	0.810077	2
2	240000001	0.858497	0.810077	2
20	1	0.917261	1.02781	3
20	10000001	0.627065	1.02781	3
